,Homeowner,Number_of_Children,Income,Gender,Wealth,Avg_Home_Value,Median_Family_Income,Average_Family_Income,Number_of_Promotions,Lifetime_Gifts_TD,Max_Gifts_TD,Recent_Gift,Months_Since_Last_Donation,Timelag,Avg_Gift,Donor,Donation_Amt,Percent_Donation
0,1,1,5,1,9,1399,637,703,74,102.0,6.0,5.0,29,3,4.8571428569999995,1,5.0,0.7112375533428165
1,1,1,1,0,7,698,422,463,46,94.0,12.0,12.0,34,6,9.4,1,10.0,2.159827213822894
5,1,1,4,1,8,482,242,275,38,73.0,10.0,10.0,31,3,7.3,1,8.0,2.909090909090909
6,1,1,4,1,8,857,450,498,47,139.0,20.0,20.0,37,3,10.69230769,1,10.0,2.0080321285140563
7,1,1,1,0,7,1355,411,497,77,249.0,15.0,7.0,35,3,9.576923077,1,20.0,4.0241448692152915
8,1,1,4,0,5,505,333,388,51,63.0,15.0,10.0,37,8,9.0,1,5.0,1.2886597938144329
10,1,1,4,1,8,1316,541,575,66,108.0,12.0,7.0,31,1,6.0,1,7.0,1.2173913043478262
11,1,1,1,1,5,428,203,271,73,161.0,6.0,3.0,32,7,3.6590909089999997,1,3.0,1.107011070110701
13,0,1,5,0,8,1318,399,458,25,40.0,10.0,10.0,32,2,8.0,1,10.0,2.1834061135371177
15,1,1,3,1,5,779,434,500,98,126.0,7.0,7.0,33,1,4.344827586,1,11.0,2.1999999999999997
16,1,1,4,0,6,807,354,393,60,100.0,10.0,10.0,30,10,9.090909091,1,10.0,2.5445292620865136
18,1,1,2,0,7,789,295,398,48,127.0,60.0,42.0,37,6,31.75,1,16.87,4.238693467336684
19,0,1,6,1,7,995,372,407,83,476.0,25.0,10.0,28,6,13.6,1,23.0,5.651105651105651
20,1,1,7,0,7,936,521,590,69,98.0,6.0,5.0,31,2,3.62962963,1,4.0,0.6779661016949152
21,1,1,5,1,8,860,321,392,38,53.0,20.0,5.0,18,0,8.833333332999999,1,5.0,1.2755102040816326
24,1,1,7,0,6,1888,382,435,98,350.0,23.0,13.0,17,35,17.5,1,10.0,2.2988505747126435
25,1,1,6,1,9,3958,761,862,53,119.0,20.0,20.0,31,3,11.9,1,20.0,2.320185614849188
26,1,1,4,1,8,411,236,273,15,15.0,15.0,15.0,35,5,15.0,1,15.0,5.4945054945054945
27,1,1,4,0,2,610,281,328,50,161.0,25.0,10.0,36,5,10.0625,1,10.0,3.048780487804878
29,1,1,4,1,4,780,321,354,48,175.0,20.0,15.0,37,9,13.46153846,1,10.0,2.824858757062147
31,0,1,4,1,4,3321,434,536,66,85.0,20.0,20.0,37,10,9.444444444,1,10.0,1.8656716417910446
32,1,1,3,0,8,1868,324,380,28,31.0,10.0,10.0,32,3,5.166666667,1,5.0,1.3157894736842104
36,1,1,6,1,8,2085,755,797,50,85.0,5.0,5.0,32,6,4.722222222,1,5.0,0.6273525721455459
40,1,1,3,1,8,296,280,315,64,52.0,5.0,2.0,20,7,2.260869565,1,2.0,0.6349206349206349
42,0,1,5,0,8,675,374,402,24,26.0,16.0,16.0,37,9,13.0,1,16.0,3.9800995024875623
43,1,1,1,1,0,998,273,354,72,90.0,10.0,5.0,31,12,6.0,1,5.0,1.4124293785310735
46,1,1,4,0,0,314,165,207,76,204.0,25.0,25.0,37,4,12.0,1,25.0,12.077294685990339
47,0,1,5,0,8,4347,410,454,33,42.0,10.0,10.0,31,5,6.0,1,7.0,1.5418502202643172
48,0,1,3,0,8,470,300,324,29,74.0,20.0,20.0,31,5,14.8,1,20.0,6.172839506172839
49,1,1,4,1,1,835,310,364,70,126.0,6.0,6.0,34,8,4.344827586,1,4.0,1.098901098901099
50,1,1,4,0,5,1772,418,492,99,288.0,21.0,15.0,17,5,13.71428571,1,19.0,3.861788617886179
52,1,1,6,0,8,4138,787,835,37,82.0,13.0,13.0,29,6,11.71428571,1,12.0,1.437125748502994
56,1,1,2,0,3,596,279,353,68,94.0,7.0,5.0,29,2,4.7,1,5.0,1.41643059490085
57,1,1,4,1,7,1060,344,390,82,191.0,15.0,15.0,32,6,9.55,1,12.0,3.076923076923077
58,1,1,4,1,1,634,344,362,58,88.0,15.0,15.0,31,12,8.0,1,15.0,4.143646408839778
59,1,1,6,1,8,567,379,421,21,38.0,12.0,6.0,28,3,7.6,1,10.0,2.375296912114014
60,1,1,7,0,8,1046,521,576,30,66.0,12.0,12.0,28,4,11.0,1,15.0,2.604166666666667
61,0,1,2,1,4,761,485,511,51,93.0,12.0,11.0,32,1,9.3,1,12.0,2.3483365949119372
67,1,1,6,1,8,5790,1124,1045,20,22.0,10.0,7.0,31,2,7.333333333,1,7.0,0.6698564593301436
68,1,1,6,1,8,1165,563,607,69,187.0,25.0,25.0,28,6,14.38461539,1,23.0,3.789126853377265
71,1,1,5,1,8,1732,603,653,13,20.0,20.0,20.0,36,5,20.0,1,20.0,3.0627871362940278
73,1,1,4,0,8,597,459,475,23,27.0,10.0,10.0,31,5,6.75,1,7.0,1.4736842105263157
75,1,1,2,0,4,702,324,357,52,70.0,10.0,10.0,33,3,6.3636363639999995,1,10.0,2.801120448179272
77,1,1,2,1,7,992,524,563,63,100.0,20.0,3.0,21,6,7.692307692000001,1,3.0,0.5328596802841918
78,1,1,4,0,6,643,363,423,56,68.0,7.0,4.0,28,4,4.533333333,1,5.0,1.1820330969267139
79,1,1,4,1,2,359,221,237,61,128.0,20.0,15.0,36,17,14.22222222,1,20.0,8.438818565400844
80,1,1,6,0,8,3408,581,632,21,25.0,20.0,20.0,33,3,12.5,1,11.0,1.740506329113924
81,1,1,5,1,8,1080,521,529,21,20.0,15.0,15.0,32,5,10.0,1,10.0,1.890359168241966
83,1,1,4,0,5,437,354,356,83,194.0,10.0,6.0,28,4,4.2173913039999995,1,5.0,1.4044943820224718
86,1,1,4,1,8,1531,305,351,19,30.0,30.0,30.0,37,5,30.0,1,50.0,14.245014245014245
91,1,1,3,0,8,457,253,285,68,98.0,5.0,3.0,32,9,4.9,1,4.0,1.4035087719298245
92,1,1,4,1,3,806,347,354,76,119.0,15.0,10.0,31,10,10.81818182,1,10.0,2.824858757062147
94,1,1,4,1,3,525,277,278,52,157.0,10.0,7.0,28,6,7.1363636360000005,1,7.0,2.5179856115107913
96,0,1,2,0,5,698,335,348,59,276.0,15.0,13.0,33,10,11.5,1,15.0,4.310344827586207
100,0,1,3,1,5,422,290,319,66,132.0,16.0,10.0,31,5,9.428571429,1,14.0,4.38871473354232
105,1,1,6,1,8,578,258,315,22,40.0,20.0,20.0,37,7,20.0,1,20.0,6.349206349206349
108,1,1,4,0,8,1115,349,465,21,30.0,20.0,20.0,33,15,15.0,1,25.0,5.376344086021505
110,1,1,2,1,7,645,377,362,82,120.0,10.0,10.0,17,6,4.285714286,1,8.0,2.209944751381215
111,1,1,3,0,8,869,304,410,26,35.0,10.0,10.0,32,6,8.75,1,5.0,1.2195121951219512
113,0,1,5,0,8,2194,464,506,43,119.0,30.0,22.0,23,1,10.81818182,1,22.0,4.3478260869565215
114,1,1,3,0,0,250,164,228,57,102.0,7.0,5.0,28,4,4.434782609,1,5.0,2.1929824561403506
116,1,1,5,1,5,573,315,367,70,145.0,15.0,10.0,37,2,9.0625,1,10.0,2.7247956403269753
117,1,1,3,0,9,840,522,561,80,204.0,9.0,7.0,30,3,6.181818182000001,1,5.0,0.8912655971479502
118,0,1,3,0,5,622,339,377,87,241.0,17.0,15.0,23,5,13.38888889,1,17.0,4.509283819628647
120,0,1,7,0,8,2827,616,620,40,61.0,19.0,19.0,30,11,12.2,1,22.0,3.5483870967741935
121,1,1,4,1,8,711,465,495,48,46.0,10.0,10.0,31,10,5.1111111110000005,1,6.0,1.2121212121212122
123,1,1,4,1,8,1969,531,563,16,20.0,20.0,20.0,36,5,20.0,1,20.0,3.5523978685612785
125,1,1,4,1,8,3850,583,667,33,50.0,16.0,16.0,31,10,12.5,1,14.0,2.0989505247376314
